iter	Passed	Remaining
0	1	197
1	3	190
2	5	185
3	7	190
4	10	192
5	12	192
6	14	189
7	16	184
8	17	180
9	19	177
10	21	175
11	23	174
12	25	172
13	27	170
14	29	167
15	31	165
16	33	161
17	34	159
18	36	157
19	38	155
20	40	154
21	42	152
22	44	150
23	46	148
24	48	146
25	50	143
26	52	141
27	54	139
28	56	137
29	58	135
30	59	133
31	62	131
32	63	129
33	65	127
34	67	125
35	69	123
36	71	121
37	73	119
38	74	116
39	76	114
40	77	111
41	78	108
42	79	105
43	81	103
44	82	101
45	84	98
46	86	97
47	87	94
48	89	92
49	90	90
50	92	88
51	94	86
52	95	84
53	97	82
54	98	80
55	100	78
56	101	76
57	103	75
58	105	73
59	106	71
60	108	69
61	110	67
62	111	65
63	113	63
64	115	62
65	116	60
66	118	58
67	120	56
68	121	54
69	123	52
70	124	50
71	126	49
72	127	47
73	129	45
74	131	43
75	132	41
76	134	40
77	135	38
78	137	36
79	138	34
80	139	32
81	141	31
82	143	29
83	144	27
84	146	25
85	147	24
86	149	22
87	150	20
88	152	18
89	153	17
90	155	15
91	156	13
92	158	11
93	159	10
94	161	8
95	163	6
96	164	5
97	166	3
98	167	1
99	168	0
